720, Акмолинская обл. (Целиноградская обл.)
721, Актюбинская обл.
722, Алма-Атинская обл.
723, Восточно-Казахстанская обл.
724, Гурьевская обл.
725, Джезказганская обл.
726, Жамбылская обл. (Джамбулская обл.)
727, Западно-Казахстанская обл.
728, Казахстан
729, Карагандинская обл.
730, Кзылординская обл.
731, Кокчетавская обл.
732, Кустанайская обл.
733, Мангыстауская (Мангышлакская обл.)
734, Павлодарская обл.
735, Северо-Казахстанская обл.
736, Талды-Курганская обл.
737, Тургайская обл.
738, Чимкентская обл.
